antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({808.0}),frozenset({1135.0}),0.026619995881989586,0.044474512456981495,0.006500573580021767,0.24419889502762432,5.490760472390307,1.0,0.005316662241563424,1.264255213781333,0.8402431340461503,0.10063752276867031,0.20902046588438183,0.19518145809582274
frozenset({618.0}),frozenset({959.0}),0.051210400917728036,0.0757419772332853,0.012412859958231609,0.2423894313612866,3.2001994166950136,1.0,0.00853408293781364,1.219964531946058,0.7246279614975926,0.10837185413456597,0.1803040385077226,0.20313646325345883
frozenset({1248.0}),frozenset({5.0}),0.025002206077006796,0.03670912139306409,0.006059358178662823,0.24235294117647058,6.601981523378583,1.0,0.005141549160687576,1.2714242962979743,0.8702894813073038,0.10887949260042283,0.21348050142527927,0.20370852187028657
frozenset({1529.0}),frozenset({808.0}),0.028884901608965497,0.026619995881989586,0.00694178898138071,0.24032586558044808,9.028020389103308,1.0,0.006172873019498374,1.2813125523376492,0.9156831640471589,0.14294367050272563,0.21955029771964504,0.2505496731217158
frozenset({1279.0}),frozenset({959.0}),0.03259111098038062,0.0757419772332853,0.007824219784098597,0.24007220216606498,3.1696056920542564,1.0,0.005355704598215133,1.2162445240208075,0.7075636276680938,0.07784606379865379,0.17779691480617754,0.1716865865199257
frozenset({1248.0}),frozenset({1483.0}),0.025002206077006796,0.059240521222460804,0.00600052945848163,0.23999999999999996,4.051281032770605,1.0,0.004519385738768371,1.2378414194441305,0.7724781528745689,0.07669172932330826,0.19214207547759746,0.17064548162859977
frozenset({928.0}),frozenset({959.0}),0.023296173191752215,0.0757419772332853,0.005588728417213283,0.2398989898989899,3.1673188192605664,1.0,0.003824230197700916,1.2159673655003953,0.7005967712535367,0.059804847340258094,0.17760950797517533,0.1568426988329901
frozenset({808.0}),frozenset({1483.0}),0.026619995881989586,0.059240521222460804,0.006382916139659382,0.2397790055248619,4.0475505714144635,1.0,0.004805933708670559,1.2374815818221991,0.7735283173679747,0.08031088082901555,0.19190716476968173,0.17376239253402975
frozenset({1384.0}),frozenset({1483.0}),0.026649410242080184,0.059240521222460804,0.006382916139659382,0.23951434878587197,4.043083076302527,1.0,0.004804191186647366,1.2370509256494202,0.7732712209467901,0.08028116907140215,0.19162584234353527,0.1736300641645348
frozenset({342.0}),frozenset({1483.0}),0.03906227020031179,0.059240521222460804,0.009353766508809602,0.23945783132530124,4.042129042485733,1.0,0.007039697262010532,1.2369589978381903,0.7831991592437275,0.10515873015873017,0.19156576592459326,0.19867628408370325
frozenset({1135.0}),frozenset({959.0}),0.044474512456981495,0.0757419772332853,0.010618583992705238,0.23875661375661378,3.1522363486926595,1.0,0.007249996482727082,1.214142598108838,0.7145438956057708,0.09688674181427803,0.1763735153040417,0.18947539425694765
frozenset({427.0}),frozenset({1051.0}),0.021090096184957496,0.08659587610671529,0.005029855575491955,0.23849372384937237,2.7541002478624703,1.0,0.003203540219180667,1.1994702506071158,0.6506267923414305,0.04899713467048711,0.1662986226679262,0.14828898148990358
frozenset({1173.0}),frozenset({1483.0}),0.031855751978115715,0.059240521222460804,0.007588904903373827,0.23822714681440443,4.02135467241773,1.0,0.005701753552256815,1.2349606248679694,0.7760492106984941,0.0908770693906305,0.1902575840368104,0.1831652119374902
frozenset({858.0}),frozenset({1051.0}),0.027473012324616877,0.08659587610671529,0.006529987940112363,0.23768736616702357,2.7447885148030915,1.0,0.004150938368571578,1.198201477129674,0.6536304020198404,0.06072210065645515,0.16541581771746047,0.15654748743133787
frozenset({57.0}),frozenset({589.0}),0.027884813365885226,0.04103303232638174,0.006618231020384151,0.23734177215189872,5.784163604192187,1.0,0.005474032572126661,1.257400671306487,0.8508396623195861,0.10623229461756373,0.20470855247678368,0.19931604736627195
frozenset({1163.0}),frozenset({5.0}),0.02503162043709739,0.03670912139306409,0.005912286378209842,0.23619271445358403,6.434169642050078,1.0,0.00499339758491933,1.2611700579915421,0.8662637755529359,0.10590094836670179,0.2070855205740174,0.19862520338063816
frozenset({844.0}),frozenset({1135.0}),0.022178427508309558,0.044474512456981495,0.005235756096126129,0.23607427055702918,5.308080010666218,1.0,0.004249381345631555,1.250809405568465,0.8300164231584448,0.08524904214559388,0.2005176843505409,0.17689956914094845
frozenset({242.0}),frozenset({1051.0}),0.02370797423302056,0.08659587610671529,0.005559314057122687,0.23449131513647642,2.707880856214263,1.0,0.00350630125769884,1.1931989041458468,0.6460234407268242,0.05307497893850042,0.16191676297603416,0.1493448423508469
frozenset({589.0}),frozenset({1483.0}),0.04103303232638174,0.059240521222460804,0.009559667029443775,0.23297491039426524,3.932695148298826,1.0,0.007128848807090837,1.2265041802753898,0.7776299707898997,0.10538261997405966,0.18467460928223856,0.1971726587721078
frozenset({683.0}),frozenset({959.0}),0.03826808247786569,0.0757419772332853,0.008853722387269464,0.23136049192928515,3.0545874346096724,1.0,0.005955222155469477,1.2024596876194957,0.6993877760047863,0.08419580419580418,0.16837128903697748,0.17412684790639013
frozenset({1037.0}),frozenset({1286.0}),0.023413830632114597,0.010618583992705238,0.005412242256669706,0.23115577889447236,21.76898342126143,1.0,0.005163620529511622,1.2868424953297495,0.9769369178246333,0.18910585817060638,0.22290412103327914,0.37042553487659907
frozenset({844.0}),frozenset({84.0}),0.022178427508309558,0.040209430243845046,0.005118098655763744,0.23076923076923078,5.7391818130662315,1.0,0.004226316721950197,1.2477277406830016,0.844488564008463,0.08936825885978428,0.19854310568377379,0.1790276292836644
"frozenset({1051.0, 959.0})",frozenset({618.0}),0.028679001088331324,0.051210400917728036,0.006588816660293555,0.22974358974358972,4.486268133551303,1.0,0.00512015351664015,1.2317841000069445,0.8000419904046653,0.0898876404494382,0.1881694202787952,0.17920263921412685
frozenset({1529.0}),frozenset({5.0}),0.028884901608965497,0.03670912139306409,0.006618231020384151,0.22912423625254583,6.241615913363622,1.0,0.0055578916607939245,1.2496058689458533,0.8647636932707355,0.11221945137157109,0.19974767656654557,0.20470634889550368
frozenset({342.0}),frozenset({959.0}),0.03906227020031179,0.0757419772332853,0.008941965467541254,0.22891566265060243,3.0223090419932155,1.0,0.005983311887348799,1.198647123275583,0.6963272763008873,0.08446790775215338,0.16572610855873368,0.17348695753889343
frozenset({1529.0}),frozenset({618.0}),0.028884901608965497,0.051210400917728036,0.0065594023002029595,0.22708757637474544,4.434403408393004,1.0,0.005080194908338709,1.2275512335952452,0.7975270107554047,0.08920000000000002,0.18537005003758125,0.1775874412603193
frozenset({1542.0}),frozenset({1483.0}),0.031061564255669617,0.059240521222460804,0.006912374621290114,0.22253787878787878,3.7565145308597394,1.0,0.005072271364799288,1.210038988537249,0.7573193078275989,0.08289241622574955,0.17358034784577792,0.1696105481327676
frozenset({808.0}),frozenset({1219.0}),0.026619995881989586,0.021090096184957496,0.005912286378209842,0.22209944751381216,10.530983148015443,1.0,0.005350868104615509,1.2583998053304168,0.929793195271076,0.1414496833216045,0.2053399915002125,0.2512170877736425
frozenset({589.0}),frozenset({808.0}),0.04103303232638174,0.026619995881989586,0.009089037267994236,0.22150537634408604,8.321014673557894,1.0,0.00799673811644041,1.2503361931350134,0.9174688788525096,0.15519839276745356,0.2002151057527467,0.2814709202162419
frozenset({589.0}),frozenset({618.0}),0.04103303232638174,0.051210400917728036,0.009089037267994236,0.22150537634408604,4.3253982076794335,1.0,0.006987719231690132,1.218749070644355,0.801703749189251,0.10930314821365406,0.17948655380611028,0.19949479041213491
